data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6132067,466,MLI2303,2303,28 September 2018,2018,1,Violence against civilians,Attack,Dozo Militia,,4,Civilians (Mali),Fulani Ethnic Group (Mali); Pastoralists (Mali),7,47,Western Africa,Mali,Segou,Macina,Sana,Sewere,13.8111,-4.9874,2,Whatsapp,New media,"On September 28, Dozo militiamen abducted four Fulani men in the village of Sewere, they were executed a few kilometers from the village.",4,1571164648,MLI
5771521,466,MLI2295,2295,26 September 2018,2018,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mali),,3,Civilians (Mali),Tuareg Ethnic Group (Mali),7,37,Western Africa,Mali,Tombouctou,Gourma-Rharous,Gossi,Gossi,15.8196,-1.2911,2,Kibaru,National,"On September 26, unknown gunmen abducted two members of the Tuareg Ifartatane faction in Kaygourou on the western river bank of the town Gossi (coded as Gossi at geoprecision 2).",0,1567462160,MLI
6311244,466,MLI2294,2294,25 September 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),Tuareg Ethnic Group (Mali),7,37,Western Africa,Mali,Gao,Menaka,Menaka,Intibsite,15.9036,1.8373,2,Studio Tamani,National,"On September 25, unknown gunmen attacked two Ibogalitane camps in the area of Intibsite (Tinipchi) not far from Inekar-Ouest, killing 27 civilians.",27,1572403781,MLI
5771525,466,MLI2289,2289,23 September 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),Tuareg Ethnic Group (Mali),7,37,Western Africa,Mali,Gao,Gao,N'tillit,Ntillit,15.5461,-0.4606,2,Kibaru,National,"On September 23, unknown gunmen attacked a vehicle in the area of Ntillit, killing a leader of the Issamedawane faction of the Tuareg Kel Essouk and his driver.",2,1567462160,MLI
6747617,466,MLI2288,2288,22 September 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),Arab Ethnic Group (Mali); Tuareg Ethnic Group (Mali),7,37,Western Africa,Mali,Kidal,Kidal,Kidal,Kidal,18.44,1.41,1,VOA; Menastream,Local partner-New media,"On September 22, unknown gunmen shot dead the chiefs of the Oulad Malouk (Arab) and Techrerat (Tuareg Taghat Mellet) tribal fractions (Seyd Ould Cheick El Malouki and Mohamed Ag Aljimit), in the Aliou neighborhood of Kidal.",2,1579637358,MLI
6120155,466,MLI2321,2321,21 September 2018,2018,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,Katiba Macina,2,Civilians (Mali),,7,27,Western Africa,Mali,Mopti,Mopti,Ouroube Doude,Dera,15.2388,-3.9328,1,Ouroube Doudde Infos,New media,"On September 21, Katiba Macina militants killed a civilian at the market in Dera.",1,1571164634,MLI
6747848,466,MLI2286,2286,20 September 2018,2018,1,Violence against civilians,Attack,Dogon Ethnic Militia (Mali),,4,Civilians (Mali),Fulani Ethnic Group (Mali); Pastoralists (Mali),7,47,Western Africa,Mali,Mopti,Koro,Madougou,Naye,14.4291,-3.0361,2,Menastream,Local partner-New media,"On September 20, presumed Dogon militiamen opened fire against two Fulanis pastoralists near Naye, the pastoralist fled while several of their livestock were killed by gunfire.",0,1579637358,MLI
6747849,466,MLI2283,2283,18 September 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Western Africa,Mali,Tombouctou,Niafunke,Dianke,Dianke,15.7265,-4.642,2,Menastream,Local partner-New media,"On September 18, unknown gunmen opened fire against residents in a village between Lere and Dianke (coded as Dianke at geoprecision 2), before abducting the village chief.",0,1579637358,MLI
6747852,466,MLI2282,2282,18 September 2018,2018,1,Violence against civilians,Abduction/forced disappearance,Dogon Ethnic Militia (Mali),,4,Civilians (Mali),Fulani Ethnic Group (Mali),7,47,Western Africa,Mali,Mopti,Douentza,Douentza Commune,Ewery,14.9716,-2.92,2,Menastream,Local partner-New media,"On September 18, Dogon militiamen abducted two Fulani herders in the area of Ewery, southeast of Douentza.",0,1579637358,MLI
6747856,466,MLI2274,2274,16 September 2018,2018,1,Violence against civilians,Attack,Fulani Ethnic Militia (Mali),Pastoralists (Mali),4,Civilians (Mali),Dogon Ethnic Group (Mali),7,47,Western Africa,Mali,Mopti,Koro,Diougani,Dioungani,14.3156,-2.7403,2,Menastream,Local partner-New media,"On September 16, Fulani militiamen attempted to assassinate two members of the Dogon community who escaped with wounds between Douna and Tonou (coded as Dioungani at geoprecision 2).",0,1579637358,MLI
6747857,466,MLI2271,2271,14 September 2018,2018,1,Violence against civilians,Attack,Islamist Militia (Mali),,3,Civilians (Mali),Dogon Ethnic Group (Mali),7,37,Western Africa,Mali,Mopti,Douentza,Mondoro,Tiguila,14.876,-1.8545,1,Menastream,Local partner-New media,"On September 14, Islamist militants carried out a small arms assault against the Dogon village of Tiguila, killing one civilian.",1,1579637358,MLI
6070329,466,MLI2270,2270,12 September 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Western Africa,Mali,Gao,Ansongo,Ouattagouna,Hourara,15.0638,0.6296,2,Fasotuloba,New media,"On September 12, unknown gunmen killed three individuals on the outskirts of Hourara.",3,1571164562,MLI
6311280,466,MLI2262,2262,09 September 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),Military Forces of Mali (2013-) Operational Coordination Mechanism; MAA: Arab Movement of the Azawad (CMA); Arab Ethnic Group (Mali),7,37,Western Africa,Mali,Tombouctou,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,1,Studio Tamani,National,"On September 9, unknown gunmen shot dead MOC commander Saloum Ould MBegui in Timbuktu.",1,1572403781,MLI
4607588,466,MLI2259,2259,08 September 2018,2018,1,Violence against civilians,Attack,Dozo Militia,,4,Civilians (Mali),Fulani Ethnic Group (Mali),7,47,Western Africa,Mali,Mopti,Koro,Bamba,Komboko,14.674,-3.0616,1,Studio Tamani,Subnational,"On September 8, Dozo militiamen attacked the Fulani village of Komboko, killing more than ten and wounding several others.",10,1552576453,MLI
